# P_qpo=100,mean=100,P_drw=100,Q=80, sigma_noise=1, timerange=1000, length=200
4.245058385774947851e+02 9.173211510663304580e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.291650634455984346e+02 8.776516022198735811e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.342036300719166206e+02 8.997389356735446597e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.391724373856408192e+02 9.636318181414164030e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.439062602210108253e+02 1.038962639771326621e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.487078821953495549e+02 9.280459960762227922e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.537376535520312473e+02 9.783979652250111769e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.586487118278150774e+02 1.066520096670444531e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.634159113411245130e+02 1.067101545602309898e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.686632904286242933e+02 1.092492091351193011e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.737456495912568357e+02 1.051933320348522614e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.786741335421968984e+02 1.012382457549470303e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.836190258479010140e+02 1.092550998456950282e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.886964074641757634e+02 1.088338138482626505e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.935496137423803020e+02 1.050213157313468884e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.986162008198140256e+02 1.027340908331412237e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.033797080728925266e+02 9.496958619715893235e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.082301339427046400e+02 1.008427359350152130e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.131473202459844742e+02 1.095594578992231618e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.179971072427539411e+02 1.070140656859942112e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.228129327443335796e+02 1.050439735423609733e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.274140332842747512e+02 1.177255939655316297e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.326078465101351185e+02 1.034993493282756987e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.375197808023683592e+02 9.520997275470917032e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.425060410944288378e+02 1.054529099519161690e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.476390948433738686e+02 1.069001946174746251e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.527810727992147122e+02 9.805291601220767461e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.577211206219423048e+02 9.592230526041620919e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.625922626598145371e+02 9.663582360426869400e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.679111336547899782e+02 1.025161534437241784e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.728880871709486655e+02 9.807001307050511230e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.777031773021691379e+02 8.929930836483393364e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.826662678012886545e+02 1.021104281640788116e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.874890820074497242e+02 1.128054055815289303e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.924895264699000563e+02 1.264278833522035512e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.977475018440292160e+02 1.129601497779230925e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.027602963857652867e+02 1.026488149633048863e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.077958698205344490e+02 9.637640628949937138e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.127801732740358602e+02 1.034397256710481798e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.179136601522126284e+02 1.037367115357978946e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.230745513294705233e+02 1.053055757687924654e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.279691542813338856e+02 9.730785103117788992e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.328242063204746728e+02 9.532651085555392001e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.380970609400449121e+02 9.963386176525111182e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.431754923699993469e+02 9.661722935918157873e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.485974160233697603e+02 1.064644989357340421e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.536584928560012031e+02 9.850831087060163327e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.584205090552861748e+02 1.000622210865706023e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.634070676615269804e+02 1.082278649644861162e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.682069978359845663e+02 9.993272491929904788e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.733036766570673990e+02 1.015585451402558306e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.783544278809173420e+02 1.124513718268424896e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.833512543086162623e+02 1.107916011195910500e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.879310521862713586e+02 1.066931004122582891e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.929354621366056790e+02 8.451692117093163858e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.980590162902601605e+02 8.089870253647849552e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.030412497185568554e+02 8.117439516859283799e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.081188676818716203e+02 8.668002236005780503e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.127449207961986986e+02 9.620797215462766871e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.175909308263643425e+02 8.961737243558732757e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.226699431466064425e+02 8.669485144217281913e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.276598243201161722e+02 8.252855948711156486e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.326720762209794202e+02 8.666191988946381741e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.380298313227635845e+02 8.732054802275418126e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.431084337819173697e+02 8.589909731393069592e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.483143672633231063e+02 9.643332445094129923e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.532004230291129261e+02 9.918283580494299656e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.583290139123421341e+02 1.093900217998474176e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.636517728332605657e+02 9.885741995016439887e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.687038446902238320e+02 9.630811618860984424e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.734789210166827615e+02 9.922858409020912518e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.783499450540543876e+02 9.427853056136886778e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.834912561318158168e+02 9.962097412919200679e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.884834507610099763e+02 9.241244364397680044e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.933419903006341656e+02 9.397092129508322955e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.983323294052567007e+02 9.122174439534694557e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.036443509282186142e+02 9.061311939673495885e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.089689321951417469e+02 8.910388575631861841e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.142407491007674025e+02 9.574520170906231442e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.193801613798033259e+02 8.727743826083010958e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.247219041645472544e+02 9.763485833590561924e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.298640134431417437e+02 9.747891347582495314e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.347155915513588980e+02 9.474111190128969895e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.399673691096421635e+02 8.796542530248969172e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.449635989309674642e+02 8.449862545259597368e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.496110257204329628e+02 8.721213940882772420e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.547693381723078119e+02 9.403259122364363520e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.599604779163815920e+02 1.201712612425875619e+02 1.000000000000000000e+00 1.000000000000000000e+00
8.651911968232863046e+02 1.184019351388714654e+02 1.000000000000000000e+00 1.000000000000000000e+00
8.698963005913939242e+02 1.050430245779177767e+02 1.000000000000000000e+00 1.000000000000000000e+00
8.748962067784922283e+02 1.085540223303948864e+02 1.000000000000000000e+00 1.000000000000000000e+00
8.799234825538218274e+02 1.072338223370436197e+02 1.000000000000000000e+00 1.000000000000000000e+00
8.852289355391096706e+02 9.863346587679177446e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.901493377177232560e+02 9.404075575703538448e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.951810231900897179e+02 9.079225626634331547e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.004061487146258287e+02 9.094443762672933929e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.054202709854387194e+02 8.935600675479216193e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.105049362644496114e+02 9.899687224940103647e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.155716998172476906e+02 8.895202512654890370e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.203630359487783608e+02 8.735245821671202293e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.254198889321650086e+02 8.123966630721770343e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.305194949272821532e+02 9.021684386008078604e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.356850240969793049e+02 8.351334101435355706e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.404532122095559998e+02 8.816397190435883147e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.451054068063876912e+02 1.076053511072433793e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.500843936865236401e+02 1.114845711664042653e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.548356360639958211e+02 1.190950117577170460e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.600707712565874772e+02 1.132545053569908333e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.650531061911964343e+02 1.215187780085836522e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.700351338449426066e+02 1.118302282425907208e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.747071644227722800e+02 1.153930943428767790e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.798870266720018662e+02 1.181053952012998991e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.848706911630343939e+02 1.084105600502978746e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.900705056388894718e+02 9.739916092812590875e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.951905226117831944e+02 8.234432525349053833e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.000134639763255336e+03 9.337546121076438510e+01 1.000000000000000000e+00 1.000000000000000000e+00
